ФИО-ИНН-Адрес регистрации-Сумма уплаченного налога за текущий год
"Алетдинова Анастасия Егоровна-464347129605-ст. Ялуторовск, бул. Линейный, д. 52, 616783-55280.85"
"Арбулиева Виолетта Евгеньевна-874480109727-д. Усть-Катав, пр. Шолохова, д. 891, 684613"
"Арзамазцев Роман Адамович-307751759576-к. Валаам, ш. Угольное, д. 700, 036345-100107.34"
"Бабаркина Софья Борисовна-266841827446-п. Выборг, пер. Славянский, д. 3, 918952-149176.05"
"Бабынцева Яна Михайловна-585616047165-клх Кировск (Мурм.), ш. Гастелло, д. 2/6 стр. 2, 785469-137120.49"
"Бажарев Виталий Михаилович-205982807155-к. Сортавала, бул. 8 Марта, д. 3/4 к. 749, 263406-82271.34"
"Базиева Тамара Евгеньевна-871460067663-к. Карабудахкент, ул. Правды, д. 7/9, 513225-95097.69"
"Батареев Леонид Алексеевич-973362656060-клх Верхний Уфалей, пер. Солнечный, д. 7, 351026-3589.97"
"Башкириева Дарья Алексеевна-247293740120-к. Армавир, наб. Депутатская, д. 3/9 стр. 97, 418461-66502.46"
"Бесчатых Семён Кириллович-841830120078-г. Воркута, алл. Дальневосточная, д. 67, 092002-13466.4"
"Бжозовская Вера Богдановна-887341797155-ст. Вилюйск, ул. Загородная, д. 7 к. 3, 328247-107749.82"
"Боуров Степан Юриевич-110420531530-ст. Билибино, наб. Кленовая, д. 447 стр. 2, 985136-63173.22"
"Бочанова Кристина Максимовна-770994085634-ст. Терскол, пр. Чернышевского, д. 1/4, 913633-103586.86"
"Брязгин Станислав Петрович-608127928851-к. Белорецк, алл. Угольная, д. 3/3, 215446-78002.87"
"Вилянский Степан Тимофеевич-478877677976-к. Лодейное Поле, пр. Кирова, д. 1/3 стр. 1, 446288-9763.0"
"Времячкина Клавдия Михайловна-570972291497-ст. Тутаев, ул. Огородная, д. 9 к. 258, 432229-9.77"
"Габиева Ирина Алексеевна-372836586769-к. Юрюзань, ул. Высоцкого, д. 727 к. 9/1, 339883-88659.95"
"Галушкин Игорь Вадимович-981424151006-с. Шали, пер. Казанский, д. 1 стр. 357, 148412-6517.9"
"Гарапшина Оксана Яковлевна-59053937503-д. Мыс Шмидта, пр. Кузнецкий, д. 50 к. 3/4, 352667-111010.18"
"Гарганова Зинаида Сергеевна-981304086588-клх Тула, пер. Безымянный, д. 1/6, 322031-127828.65"
"Гиреев Альберт Данилович-403363271244-г. Соль-Илецк, ш. Сибирское, д. 1, 060362"
"Горлатых Николай Георгиевич-822066192849-д. Губкинский, бул. Ручейный, д. 6 стр. 7/7, 008017-14122.47"
"Гричевский Яков Алексиевич-511528878141-г. Батайск, наб. Саратовская, д. 12 к. 63, 085701-149733.75"
"Губицкова Катерина Богдановна-124517719453-клх Юрьев-Польский, бул. Городской, д. 37 к. 811, 418307"
"Гуженков Георгий Юрьевич-811042047346-клх Петушки, наб. Беляева, д. 12, 094565-118242.91"
"Гумматова Софья Борисовна-960390998603-клх Зеленогорск (Ленин.), ш. Казачье, д. 3, 068639-147380.32"
"Денисаева Валентина Николаевна-118469042998-п. Ногинск (Моск.), ш. Максима Горького, д. 3/3 стр. 19, 909329-58341.6"
"Досегаева Валерия Дмитриевна-952304634228-г. Армавир, пер. Коллективный, д. 6 к. 5, 909693-147386.66"
"Дрыбцова Валентина Викторовна-654772394961-клх Белокуриха, наб. Рязанская, д. 1/2 к. 5, 138387-62312.25"
"Дубянская Юлия Богдановна-79657149951-с. Киренск, бул. 8 Марта, д. 86 к. 6/9, 499822-50610.92"
"Дулкин Денис Тимофеевич-646531204395-к. Усть-Баргузин, бул. Высоцкого, д. 52, 472967"
"Замазин Геннадий Георгиевич-343232523714-д. Владикавказ, алл. Дарвина, д. 29, 246451-57676.76"
"Затейкин Иван Иванович-673007041385-клх Тобольск, бул. 9 Января, д. 60 к. 45, 629550-45474.46"
"Зельков Геннадий Николаевич-390027846585-клх Москва, наб. Грибоедова, д. 7 стр. 2/1, 393026-37379.43"
